"year" "temperature"
"1" 1960 66
"2" 1961 61
"3" 1962 57
"4" 1963 73
"5" 1964 57
"6" 1965 61
"7" 1966 72
"8" 1967 60
"9" 1968 61
"10" 1969 66
"11" 1970 70
"12" 1971 62
"13" 1972 57
"14" 1973 69
"15" 1974 68
"16" 1975 57
"17" 1976 66
"18" 1977 63
"19" 1978 70
"20" 1979 70
"21" 1980 66
"22" 1981 63
"23" 1982 70
"24" 1983 64
"25" 1984 66
"26" 1985 60
"27" 1986 69
"28" 1987 68
"29" 1988 62
"30" 1989 69
"31" 1990 66
"32" 1991 54
"33" 1992 62
"34" 1993 69
"35" 1994 55
"36" 1995 63
"37" 1996 57
"38" 1997 69
"39" 1998 57
"40" 1999 75
"41" 2000 66
"42" 2001 62
"43" 2002 66
"44" 2003 69
"45" 2004 59
"46" 2005 65
"47" 2006 69
"48" 2007 72
"49" 2008 68
"50" 2009 63
"51" 2010 64
